Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;13,90
DI x pré;2;4;13,82
DI x pré;3;5;13,79
DI x pré;4;6;13,77
DI x pré;5;7;13,77
DI x pré;6;8;13,76
DI x pré;8;12;13,75
DI x pré;10;14;13,75
DI x pré;11;15;13,75
DI x pré;12;18;13,75
DI x pré;13;19;13,75
DI x pré;14;20;13,74
DI x pré;15;21;13,74
DI x pré;22;33;13,72
DI x pré;23;34;13,71
DI x pré;24;35;13,71
DI x pré;25;36;13,71
DI x pré;26;39;13,71
DI x pré;27;40;13,71
DI x pré;28;41;13,70
DI x pré;33;48;13,70
DI x pré;34;49;13,70
DI x pré;35;50;13,70
DI x pré;36;54;13,69
DI x pré;40;60;13,68
DI x pré;45;67;13,66
DI x pré;46;68;13,65
DI x pré;47;69;13,65
DI x pré;48;70;13,65
DI x pré;52;77;13,64
DI x pré;54;81;13,63
DI x pré;55;82;13,63
DI x pré;61;90;13,62
DI x pré;65;96;13,61
DI x pré;66;97;13,61
DI x pré;67;98;13,61
DI x pré;68;99;13,60
DI x pré;73;109;13,60
DI x pré;74;110;13,59
DI x pré;75;111;13,59
DI x pré;77;116;13,59
DI x pré;81;120;13,58
DI x pré;86;127;13,57
DI x pré;87;130;13,57
DI x pré;89;132;13,57
DI x pré;90;133;13,57
DI x pré;96;141;13,56
DI x pré;97;144;13,56
DI x pré;102;153;13,55
DI x pré;104;155;13,55
DI x pré;105;158;13,55
DI x pré;106;159;13,55
DI x pré;107;160;13,55
DI x pré;112;167;13,55
DI x pré;113;168;13,55
DI x pré;114;169;13,55
DI x pré;115;172;13,55
DI x pré;121;180;13,55
DI x pré;125;186;13,55
DI x pré;129;190;13,55
DI x pré;130;193;13,55
DI x pré;134;200;13,55
DI x pré;136;202;13,55
DI x pré;137;203;13,55
DI x pré;142;210;13,56
DI x pré;146;216;13,56
DI x pré;148;218;13,56
DI x pré;155;230;13,56
DI x pré;156;231;13,56
DI x pré;157;232;13,56
DI x pré;158;235;13,56
DI x pré;163;242;13,56
DI x pré;168;249;13,56
DI x pré;171;252;13,56
DI x pré;177;263;13,56
DI x pré;178;264;13,56
DI x pré;182;270;13,56
DI x pré;189;279;13,57
DI x pré;191;281;13,57
DI x pré;198;292;13,58
